loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,loan_date
115,5724,Auto Loan,527735,11.97,240,Active,2022-05-29
116,2400,Home Loan,9307,13.66,12,Active,2024-11-11
117,17523,Education Loan,448007,9.94,24,Active,2023-01-16
118,19674,Personal Loan,276900,11.895,84,Active,2021-03-15
119,958,Home Loan,444031,8.57,12,Active,2025-04-29
120,3786,Personal Loan,541306,12.245000000000001,180,Active,2024-01-28
121,11625,Auto Loan,568402,10.34,120,Active,2025-03-21
122,16535,Auto Loan,628145,11.87,12,Closed,2022-02-23
123,15745,Home Loan,578318,18.18,24,Closed,2021-10-19
124,14928,Auto Loan,673788,14.59,240,Active,2022-10-31
125,5140,Personal Loan,64134,9.94,48,Active,2023-04-22
126,4369,Auto Loan,665232,6.55,60,Default,2025-07-18
127,6468,Education Loan,750241,12.57,120,Closed,2022-07-31
128,13404,Personal Loan,732136,8.58,48,Default,2021-01-17
129,18510,Personal Loan,775799,15.65,240,Active,2023-12-31
130,7374,Personal Loan,53263,7.05,48,Active,2023-02-12
131,2831,Education Loan,563563,11.85,12,Active,2023-07-24
132,4468,Auto Loan,607520,13.93,36,Default,2021-11-26
133,10815,Home Loan,103354,8.25,84,Closed,2023-08-13
134,5356,Business Loan,579994,11.49,84,Active,2021-08-22
135,8610,Home Loan,27920,12.56,180,Closed,2021-08-28
136,10326,Business Loan,21654,5.98,120,Active,2023-03-24
137,5313,Business Loan,334848,6.39,36,Active,2024-11-26
138,3379,Home Loan,409550,8.42,180,Active,2024-02-25
139,10986,Education Loan,665747,11.67,48,Default,2024-06-10
140,4360,Personal Loan,160852,14.11,180,Active,2025-05-04
141,3046,Personal Loan,497562,11.66,84,Active,2021-05-18
142,19713,Home Loan,604205,13.32,12,Active,2022-07-07
143,12377,Personal Loan,171188,6.85,48,Closed,2021-11-16
144,14460,Auto Loan,682302,9.38,60,Closed,2025-06-15
145,15735,Personal Loan,196968,17.55,120,Active,2025-11-25
146,15864,Home Loan,625774,12.26,84,Active,2025-04-30
147,7999,Personal Loan,723907,11.07,84,Active,2023-04-12
148,12760,Business Loan,758747,16.34,60,Default,2024-02-11
149,2367,Education Loan,291183,17.67,120,Active,2022-03-17
150,17130,Home Loan,493577,17.98,180,Closed,2022-03-17
151,14441,Personal Loan,398255,12.79,24,Active,2024-10-21
152,11976,Auto Loan,687086,11.88,24,Active,2023-01-30
153,14587,Personal Loan,222824,16.86,240,Active,2023-05-04
154,6176,Auto Loan,656044,10.4,180,Closed,2022-12-27
155,13296,Auto Loan,757329,15.81,36,Closed,2023-09-02
156,19442,Personal Loan,755551,10.96,36,Default,2023-05-05
157,8050,Home Loan,488445,12.85,60,Active,2024-04-23
158,4579,Personal Loan,110257,9.11,120,Active,2021-05-21
159,2516,Home Loan,305842,7.07,84,Default,2022-08-21
160,7062,Auto Loan,586620,17.44,240,Active,2021-01-19
161,8833,Education Loan,34657,15.8,48,Closed,2024-12-15
162,16810,Business Loan,595686,7.62,240,Active,2022-08-20
163,7816,Business Loan,556101,5.78,60,Active,2021-06-18
164,13268,Home Loan,726994,12.02,12,Active,2025-09-06
165,13585,Personal Loan,721345,17.33,60,Default,2025-01-25
166,13263,Auto Loan,166996,9.4,12,Active,2023-09-14
167,2027,Education Loan,782444,8.85,120,Active,2023-03-23
168,14000,Home Loan,60465,14.81,240,Active,2024-02-07
169,17878,Business Loan,265731,9.03,120,Closed,2023-05-14
170,13456,Personal Loan,26013,12.06,24,Active,2024-03-29
171,18068,Personal Loan,150156,16.94,36,Active,2022-04-14
172,1185,Personal Loan,626090,17.65,24,Closed,2022-10-02
173,10841,Home Loan,405826,10.25,24,Active,2025-07-13
174,5294,Personal Loan,703410,6.97,12,Active,2025-07-06
175,15214,Home Loan,767042,13.88,180,Active,2025-04-16
176,14584,Education Loan,386310,12.41,180,Active,2023-12-16
177,2724,Home Loan,83633,6.96,12,Active,2022-10-17
178,3272,Business Loan,447364,10.6,84,Active,2024-06-23
179,7774,Education Loan,242801,15.25,24,Active,2021-05-12
180,2768,Personal Loan,184291,7.02,24,Active,2025-07-12
181,12840,Home Loan,297328,17.15,48,Active,2021-09-30
182,14586,Business Loan,346080,14.9,180,Active,2023-01-10
183,7887,Education Loan,367675,14.52,240,Active,2021-03-31
184,11291,Auto Loan,797730,7.95,24,Active,2021-05-24
185,15602,Home Loan,502064,16.49,120,Active,2025-11-07
186,19885,Personal Loan,155540,15.94,60,Active,2024-04-09
187,4170,Business Loan,348643,16.74,60,Closed,2022-04-23
188,11672,Home Loan,651458,11.68,240,Active,2022-11-24
189,19487,Personal Loan,529698,5.62,36,Active,2025-04-16
190,13414,Education Loan,257266,8.71,12,Default,2025-06-20
191,7489,Auto Loan,506211,8.8,240,Active,2022-01-18
192,13698,Personal Loan,590888,9.2,120,Active,2022-04-26
193,14887,Business Loan,380961,8.7,240,Active,2021-03-22
194,14989,Personal Loan,212359,17.5,48,Active,2022-10-06
195,11225,Business Loan,514686,17.17,24,Active,2025-06-20
196,19801,Auto Loan,503935,17.42,240,Active,2022-07-07
197,14408,Personal Loan,765051,8.16,12,Active,2021-03-04
198,8032,Business Loan,6028,15.36,36,Active,2023-05-19
199,10103,Business Loan,671037,13.92,60,Closed,2023-05-14
200,14262,Personal Loan,483828,13.88,48,Active,2023-08-07
201,17877,Home Loan,536692,8.36,84,Active,2025-07-25
202,1324,Business Loan,165861,12.1,48,Active,2021-06-17
203,14272,Personal Loan,46315,14.76,120,Active,2023-07-16
204,16587,Business Loan,636085,11.64,24,Active,2022-06-06
205,14771,Home Loan,605088,17.0,180,Active,2023-04-08
206,2649,Home Loan,519800,8.84,180,Active,2025-05-02
207,7395,Home Loan,315115,10.54,36,Active,2021-09-19
208,18537,Personal Loan,295077,16.06,120,Closed,2023-04-22
209,3675,Personal Loan,411045,16.61,84,Active,2023-02-05
210,13973,Home Loan,249009,6.38,240,Active,2022-05-08
211,3895,Personal Loan,563443,6.41,60,Active,2024-10-15
212,5104,Home Loan,753220,16.57,60,Active,2024-10-20
213,8067,Business Loan,562662,10.63,60,Active,2022-06-08
214,12863,Personal Loan,253550,7.81,240,Closed,2024-10-01
215,16657,Business Loan,309961,10.29,12,Closed,2021-02-27
216,16058,Personal Loan,681767,6.43,120,Active,2021-07-20
217,11500,Personal Loan,601489,17.53,84,Active,2021-10-13
218,14294,Home Loan,370246,8.78,180,Closed,2022-06-14
219,4558,Home Loan,755985,7.06,12,Active,2024-08-12
220,1486,Personal Loan,785148,6.26,48,Closed,2025-09-18
221,12656,Personal Loan,6699,6.38,84,Active,2025-07-28
222,1609,Home Loan,523947,15.18,12,Active,2023-04-23
223,19717,Home Loan,259296,12.495000000000001,12,Closed,2024-04-28
224,15275,Personal Loan,139554,6.18,24,Active,2025-08-08
225,17120,Personal Loan,112116,13.55,36,Active,2023-08-05
226,7593,Education Loan,456620,16.39,60,Active,2022-04-14
227,2441,Home Loan,553290,5.82,120,Active,2025-04-28
228,9324,Home Loan,567333,7.06,240,Active,2022-07-26
229,452,Business Loan,559358,13.53,240,Active,2021-05-09
230,2499,Home Loan,698355,7.92,36,Closed,2022-10-01
231,16101,Business Loan,422300,6.47,36,Active,2025-05-02
232,19495,Business Loan,343217,15.03,36,Active,2022-08-26
233,9848,Business Loan,181783,12.42,240,Active,2023-02-24
234,17601,Personal Loan,65636,12.19,36,Default,2022-07-11
235,1680,Auto Loan,200070,9.66,36,Closed,2021-08-27
236,16382,Personal Loan,99619,13.53,60,Active,2025-02-12
237,15966,Business Loan,147667,10.13,36,Closed,2021-03-05
238,3283,Auto Loan,586247,12.06,36,Closed,2023-02-09
239,9303,Auto Loan,727622,7.92,120,Closed,2024-02-16
240,18082,Personal Loan,111149,17.14,240,Active,2022-05-13
241,6130,Personal Loan,635162,6.83,84,Active,2023-12-12
242,3685,Personal Loan,634700,6.19,12,Active,2023-07-20
243,7575,Home Loan,311609,11.42,180,Active,2023-11-29
244,14588,Personal Loan,44131,16.89,60,Active,2025-06-20
245,12585,Personal Loan,132652,15.15,120,Active,2021-10-16
246,10787,Education Loan,761602,6.23,120,Active,2021-06-19
247,16219,Personal Loan,224611,17.22,120,Default,2024-04-18
248,17603,Personal Loan,90441,8.24,84,Closed,2025-11-11
249,12095,Home Loan,319019,12.15,84,Active,2022-01-05
250,7131,Auto Loan,504687,9.24,48,Closed,2025-02-28
251,13634,Education Loan,146074,7.96,180,Active,2021-03-01
252,12365,Business Loan,73596,13.63,84,Active,2023-05-12
253,17486,Home Loan,300916,14.15,84,Active,2025-10-18
254,10075,Personal Loan,261049,12.51,84,Active,2024-03-13
255,3634,Personal Loan,379758,7.36,12,Closed,2023-01-09
256,13911,Education Loan,438843,12.47,240,Active,2023-03-02
257,14179,Personal Loan,661034,12.48,180,Active,2025-08-07
258,5043,Education Loan,359155,11.09,84,Active,2024-10-04
259,5070,Home Loan,99213,12.18,12,Active,2025-04-11
260,9818,Home Loan,766499,16.88,60,Active,2025-07-21
261,5064,Home Loan,63955,16.22,24,Active,2024-09-28
262,10485,Personal Loan,488202,10.55,48,Closed,2023-04-30
263,12575,Education Loan,258183,14.08,24,Closed,2023-01-09
264,10312,Personal Loan,757561,17.34,12,Default,2022-10-12
265,17118,Auto Loan,753196,14.84,240,Default,2024-04-20
266,15035,Education Loan,383912,10.44,120,Closed,2022-03-10
267,2229,Personal Loan,720060,11.77,60,Default,2025-10-19
268,16543,Business Loan,694586,18.09,84,Active,2021-01-31
269,19107,Home Loan,580731,6.46,120,Active,2025-04-20
270,7417,Home Loan,630807,12.495000000000001,24,Default,2021-12-02
271,3823,Business Loan,604917,17.2,120,Active,2024-05-14
272,17470,Home Loan,656247,6.68,60,Active,2024-01-16
273,16551,Business Loan,272406,11.74,84,Active,2023-10-28
274,13240,Business Loan,417646,13.48,180,Active,2021-01-21
275,6361,Auto Loan,756047,7.22,48,Closed,2025-05-23
276,15809,Home Loan,455443,8.23,12,Active,2024-03-27
277,7167,Personal Loan,178459,11.745000000000001,240,Active,2022-02-03
278,247,Home Loan,629834,11.98,84,Active,2022-05-06
279,3840,Personal Loan,613840,12.06,12,Active,2024-04-10
280,15453,Home Loan,182161,13.16,60,Active,2024-10-04
281,10590,Home Loan,676046,18.36,36,Closed,2022-09-26
282,3486,Auto Loan,778497,14.72,36,Active,2024-04-16
283,8617,Business Loan,140817,17.78,48,Active,2022-05-23
284,19087,Education Loan,473844,11.27,36,Closed,2021-02-12
285,6071,Personal Loan,501213,16.04,12,Closed,2023-05-25
286,7501,Personal Loan,733194,9.15,36,Active,2025-05-20
287,13844,Business Loan,768754,12.28,60,Active,2025-06-28
288,11892,Home Loan,629573,16.2,120,Closed,2023-10-15
289,1969,Home Loan,606110,16.74,240,Active,2021-09-30
290,10971,Home Loan,374918,10.5,180,Closed,2022-06-17
291,19986,Personal Loan,777998,7.21,24,Closed,2021-09-24
292,1032,Personal Loan,596718,9.84,120,Default,2021-09-18
293,14762,Auto Loan,340870,11.61,120,Closed,2022-06-15
294,7944,Auto Loan,397134,13.52,180,Active,2024-03-05
295,1084,Auto Loan,116331,8.96,120,Active,2025-08-22
296,15674,Business Loan,692354,14.88,48,Active,2025-06-30
297,12952,Personal Loan,379838,6.03,24,Closed,2021-05-06
298,8748,Home Loan,432471,11.27,180,Active,2021-05-17
299,16488,Personal Loan,641149,6.67,240,Active,2021-09-11
300,17843,Auto Loan,382782,15.6,12,Closed,2025-10-01
301,1236,Personal Loan,247583,10.29,60,Active,2024-06-04
302,17635,Personal Loan,345907,16.01,12,Active,2021-10-09
303,11774,Home Loan,381308,14.51,24,Closed,2022-04-23
304,5256,Home Loan,19251,16.74,60,Active,2021-09-26
305,14808,Personal Loan,686796,17.58,84,Active,2025-12-06
306,1448,Home Loan,351320,6.68,60,Closed,2024-08-20
307,11261,Personal Loan,68009,6.56,60,Active,2022-05-13
308,18159,Personal Loan,14759,14.41,180,Active,2021-03-11
309,15438,Home Loan,363997,7.17,36,Active,2025-09-06
310,10645,Home Loan,713022,15.71,36,Closed,2022-10-09
311,8481,Home Loan,152176,16.39,60,Closed,2025-12-16
312,1901,Personal Loan,5697,17.01,12,Default,2023-04-16
313,4863,Personal Loan,113430,10.32,48,Active,2024-12-31
314,10049,Home Loan,398490,18.41,60,Default,2024-04-04
315,19769,Business Loan,597525,13.56,48,Active,2025-12-01
316,2374,Personal Loan,254409,15.31,36,Default,2025-12-26
317,8412,Personal Loan,415284,15.46,36,Active,2025-11-29
318,1959,Home Loan,314969,12.34,240,Active,2021-12-06
319,17687,Home Loan,704142,12.18,180,Active,2025-08-04
320,19115,Personal Loan,9655,14.97,60,Active,2024-04-25
321,9063,Education Loan,691971,15.55,120,Closed,2023-04-02
322,11448,Education Loan,540755,12.3,240,Closed,2024-10-03
323,1169,Personal Loan,216704,17.37,24,Active,2023-03-24
324,13471,Personal Loan,761464,10.59,180,Active,2025-11-09
325,17402,Auto Loan,204568,17.44,12,Active,2023-01-07
326,12340,Personal Loan,132117,10.6,60,Active,2025-12-09
327,5916,Business Loan,578059,11.1,12,Active,2024-11-15
328,11399,Business Loan,482004,15.26,84,Active,2023-03-23
329,2066,Auto Loan,120829,16.48,48,Active,2025-03-04
330,1232,Personal Loan,409726,14.04,240,Active,2022-02-06
331,13250,Education Loan,18046,12.88,48,Active,2024-04-11
332,1428,Home Loan,488709,10.71,60,Closed,2022-04-13
333,8535,Auto Loan,89496,11.18,48,Active,2021-07-26
334,8345,Education Loan,607794,13.36,24,Active,2025-12-02
335,4975,Home Loan,155381,9.15,180,Active,2025-06-21
336,16541,Personal Loan,233128,11.57,24,Active,2022-08-07
337,19598,Home Loan,274382,8.49,84,Active,2024-03-09
338,7085,Education Loan,167756,8.54,120,Active,2024-11-02
339,783,Business Loan,762617,9.9,240,Closed,2025-01-07
340,13998,Home Loan,393567,17.74,84,Active,2021-01-20
341,14672,Home Loan,243795,14.62,120,Closed,2025-05-14
342,6000,Business Loan,344844,8.19,48,Closed,2023-09-05
343,4979,Personal Loan,318767,9.24,12,Active,2025-07-23
344,17600,Home Loan,442617,16.55,180,Active,2021-11-05
345,3593,Home Loan,173706,17.5,240,Active,2025-06-26
346,16732,Business Loan,491221,15.59,180,Active,2023-08-03
347,11076,Personal Loan,717247,16.68,24,Active,2021-08-17
348,2536,Business Loan,118201,17.13,48,Closed,2024-08-26
349,1676,Personal Loan,67679,8.33,24,Active,2023-12-19
350,14550,Auto Loan,437977,11.79,60,Closed,2023-09-18
351,11137,Home Loan,131415,14.08,84,Closed,2022-04-14
352,14252,Home Loan,602308,17.78,180,Default,2025-03-24
353,5500,Education Loan,126097,13.09,84,Active,2023-05-31
354,9889,Home Loan,521907,17.37,36,Active,2024-12-23
355,724,Auto Loan,109226,9.29,120,Active,2022-08-17
356,10607,Home Loan,419737,15.05,180,Active,2021-09-05
357,14466,Personal Loan,600992,10.25,84,Active,2022-06-18
358,906,Education Loan,672380,14.97,120,Active,2025-11-23
359,11848,Home Loan,393299,8.94,48,Active,2024-01-18
360,9614,Personal Loan,262203,9.95,48,Active,2025-11-03
361,2125,Personal Loan,549216,13.52,240,Active,2023-04-11
362,8186,Education Loan,265002,14.46,240,Active,2022-06-28
363,13645,Home Loan,264807,7.84,180,Active,2024-05-07
364,10934,Education Loan,720116,7.76,24,Closed,2023-07-23
365,5661,Auto Loan,632124,17.44,12,Active,2025-08-19
366,19909,Personal Loan,32640,9.48,240,Active,2025-12-25
367,18498,Home Loan,264637,13.7,36,Active,2024-08-17
368,19925,Auto Loan,640570,5.95,120,Active,2021-06-21
369,3035,Auto Loan,587911,18.12,240,Active,2022-01-28
370,14002,Auto Loan,102482,17.2,12,Active,2025-03-05
371,9927,Personal Loan,467547,10.88,84,Active,2021-08-07
372,16349,Home Loan,339135,6.08,120,Active,2023-12-16
373,17305,Personal Loan,149390,16.16,84,Default,2024-01-30
374,19060,Auto Loan,65799,10.74,180,Active,2024-03-05
375,454,Home Loan,244822,7.31,60,Active,2024-09-27
376,13142,Home Loan,133466,8.87,120,Default,2021-08-03
377,4608,Business Loan,331448,9.55,120,Active,2022-01-09
378,9575,Home Loan,140548,10.62,120,Active,2025-01-14
379,18060,Home Loan,361505,17.17,36,Default,2023-02-14
380,15815,Auto Loan,406107,16.24,180,Active,2024-08-18
381,4877,Personal Loan,693087,13.04,180,Active,2024-10-15
382,17439,Personal Loan,598307,8.57,240,Active,2025-06-30
383,16783,Personal Loan,317500,15.89,24,Closed,2024-10-02
384,2040,Business Loan,317785,14.13,180,Closed,2022-01-28
385,272,Home Loan,492671,15.97,84,Active,2022-05-24
386,15521,Home Loan,739748,9.3,60,Active,2023-12-16
387,6441,Home Loan,778451,11.75,48,Default,2021-03-08
388,9604,Home Loan,485146,7.8,60,Default,2022-02-06
389,2913,Education Loan,581284,11.81,12,Active,2025-12-12
390,2986,Business Loan,440183,18.32,24,Active,2024-12-09
391,4632,Home Loan,224487,12.75,60,Active,2023-12-20
392,5874,Home Loan,306772,8.22,48,Closed,2023-10-31
393,6212,Business Loan,217983,8.23,240,Default,2021-03-24
394,14169,Business Loan,716922,12.094999999999999,120,Active,2022-10-09
395,15107,Home Loan,782480,10.62,24,Active,2024-01-12
396,13265,Business Loan,152026,9.08,84,Active,2024-06-26
397,19354,Personal Loan,232305,9.61,24,Active,2022-05-31
398,10299,Business Loan,630134,14.27,36,Active,2024-02-02
399,19721,Home Loan,715966,13.6,36,Active,2023-12-13
400,17165,Education Loan,94899,17.76,180,Active,2021-11-01
401,13445,Home Loan,28448,10.42,180,Active,2021-12-25
402,6767,Auto Loan,40279,16.4,24,Active,2023-03-25
403,3583,Business Loan,692397,17.15,240,Active,2025-10-01
404,16445,Personal Loan,159548,9.44,120,Closed,2024-03-05
405,2437,Personal Loan,205340,9.62,36,Active,2022-08-31
406,1409,Home Loan,634709,17.74,84,Closed,2023-09-28
407,5539,Personal Loan,188891,12.19,36,Active,2024-04-17
408,9884,Personal Loan,250685,17.73,60,Closed,2022-02-03
409,17203,Personal Loan,581051,9.32,24,Active,2023-02-17
410,16965,Auto Loan,75384,16.84,36,Closed,2024-05-06
411,12255,Auto Loan,50529,11.22,60,Active,2022-07-06
412,19791,Home Loan,286728,13.1,48,Active,2025-10-14
413,18753,Auto Loan,343772,11.87,24,Default,2022-08-11
414,10612,Home Loan,701009,16.39,120,Active,2021-08-17
415,14941,Personal Loan,144483,8.89,180,Closed,2023-02-02
416,19224,Personal Loan,744346,6.93,48,Closed,2024-02-08
417,7871,Personal Loan,729854,8.98,36,Active,2024-05-31
418,10659,Personal Loan,355911,12.19,240,Default,2022-05-17
419,16016,Personal Loan,103389,16.78,24,Closed,2022-01-05
420,328,Home Loan,707742,7.62,36,Active,2024-11-10
421,8727,Education Loan,390361,17.68,36,Active,2023-12-06
422,12734,Personal Loan,406199,11.61,84,Active,2023-01-02
423,8913,Personal Loan,307619,10.18,120,Active,2022-05-20
424,5853,Home Loan,549159,12.0,84,Active,2024-07-25
425,6463,Personal Loan,736492,6.46,180,Active,2023-07-25
426,13508,Personal Loan,672792,9.33,60,Active,2023-05-24
427,13649,Personal Loan,238654,18.46,12,Active,2023-04-26
428,3592,Personal Loan,757822,16.96,12,Closed,2021-04-18
429,4186,Home Loan,557056,18.36,48,Active,2021-04-03
430,15537,Education Loan,504583,15.79,36,Closed,2022-03-24
431,8712,Home Loan,231911,8.4,12,Active,2021-03-28
432,19571,Personal Loan,640855,15.24,36,Active,2023-11-09
433,19556,Personal Loan,437170,12.19,12,Active,2025-09-17
434,9037,Auto Loan,481402,13.6,60,Active,2025-12-03
435,11870,Auto Loan,65797,17.33,24,Active,2023-09-07
436,9599,Auto Loan,617091,11.05,60,Active,2021-11-01
437,3777,Business Loan,115975,13.8,60,Active,2023-06-09
438,10748,Education Loan,759839,15.98,180,Active,2022-03-30
439,6463,Personal Loan,23243,18.05,12,Active,2025-06-25
440,15971,Personal Loan,409380,15.6,120,Active,2025-11-11
441,9374,Business Loan,243050,10.7,36,Active,2021-11-17
442,15216,Education Loan,82593,7.87,48,Active,2023-02-16
443,19865,Business Loan,575488,14.27,180,Active,2021-04-13
444,528,Education Loan,203239,8.54,120,Closed,2025-02-13
445,2845,Home Loan,153149,18.08,60,Active,2021-05-20
446,10510,Personal Loan,507029,15.64,120,Closed,2021-08-26
447,14571,Home Loan,437277,14.21,12,Default,2025-09-17
448,10477,Personal Loan,395456,15.85,84,Closed,2022-11-25
449,6341,Home Loan,642827,9.49,36,Active,2022-05-31
450,14485,Education Loan,470982,5.84,180,Active,2022-05-26
451,12166,Auto Loan,561083,10.31,48,Active,2021-02-01
452,11672,Home Loan,357484,12.67,36,Active,2022-10-17
