payment_id,loan_id,payment_date,payment_amount,payment_method,payment_status,loan_amount,loan_bucket
53,2000,2025-03-06,2188.0,Debit Card,Pending,627059,High
54,11866,2022-01-25,14483.0,Debit Card,Success,480105,High
55,13278,2022-10-26,17072.0,Credit Card,Success,138851,Very Low
56,2509,2022-09-02,12490.0,UPI,Success,194642,Low
57,19622,2023-12-22,19002.0,Net Banking,Success,652077,Very High
58,21613,2025-11-22,20242.0,UPI,Success,708922,Very High
59,27222,2022-11-29,12662.0,Auto Debit,Success,476431,Medium
60,25206,2023-07-12,789.0,Credit Card,Pending,688821,Very High
61,5862,2023-12-18,685.0,Net Banking,Success,732852,Very High
62,7582,2026-01-01,10075.0,Debit Card,Success,458416,Medium
63,1715,2024-09-07,22159.0,Net Banking,Success,89118,Very Low
64,24923,2023-07-25,16185.0,UPI,Success,539320,High
65,29973,2025-08-03,22891.0,UPI,Success,98406,Very Low
66,16098,2026-04-22,18446.0,Auto Debit,Success,671006,Very High
67,13501,2022-09-09,16742.0,UPI,Success,102837,Very Low
68,4859,2022-01-18,11320.0,Debit Card,Success,38476,Very Low
69,6843,2022-02-01,13040.0,UPI,Success,536289,High
70,1260,2024-02-02,7502.0,Net Banking,Success,748141,Very High
71,14090,2022-11-24,16224.0,UPI,Success,147557,Very Low
72,12842,2025-04-10,15330.0,UPI,Success,746728,Very High
73,14428,2022-08-10,15359.0,Debit Card,Failed,775644,Very High
74,24579,2023-07-04,15501.0,Credit Card,Success,534242,High
75,16362,2026-03-29,995.0,UPI,Success,73682,Very Low
76,5003,2024-03-25,5751.0,Debit Card,Success,434710,Medium
77,13983,2023-03-28,2232.0,Net Banking,Success,151986,Very Low
78,10880,2022-05-11,11784.0,Debit Card,Success,362100,Medium
79,6938,2023-11-23,9642.0,UPI,Pending,607484,High
80,5919,2023-08-29,21884.0,UPI,Success,328729,Medium
81,13423,2022-10-02,2121.0,Credit Card,Success,108051,Very Low
82,17092,2023-09-04,5729.0,Auto Debit,Success,775784,Very High
83,5390,2023-06-17,16112.0,Credit Card,Success,326865,Medium
84,11937,2024-01-21,15568.0,Credit Card,Success,794197,Very High
85,15858,2023-02-18,5802.0,Net Banking,Success,57593,Very Low
86,25066,2023-10-07,12480.0,UPI,Success,522370,High
87,10188,2024-12-02,17601.0,Debit Card,Success,755041,Very High
88,4933,2025-01-25,24864.0,Credit Card,Success,161867,Low
89,13807,2024-08-16,5886.0,Net Banking,Success,474864,Medium
90,18112,2022-05-31,12640.0,UPI,Success,123669,Very Low
91,10870,2022-06-22,13674.0,Net Banking,Failed,274795,Low
92,2358,2022-12-30,5720.0,Credit Card,Success,134344,Very Low
93,27768,2022-09-12,20489.0,UPI,Success,263105,Low
94,24676,2023-10-05,1116.0,Credit Card,Success,68357,Very Low
95,15160,2024-01-28,16010.0,Debit Card,Success,644828,Very High
96,20312,2024-02-18,8684.0,Credit Card,Success,688882,Very High
97,1763,2024-09-27,18075.0,Credit Card,Success,359201,Medium
98,14969,2023-10-10,22851.0,UPI,Success,76312,Very Low
99,12748,2024-06-15,17431.0,Auto Debit,Success,40581,Very Low
100,10820,2023-12-23,13822.0,Credit Card,Success,326276,Medium
101,5507,2024-11-29,5128.0,Credit Card,Success,64975,Very Low
102,19783,2024-05-27,17414.0,Debit Card,Success,694629,Very High
103,5492,2023-04-28,16164.0,UPI,Success,519435,High
104,19650,2025-06-07,1107.0,Credit Card,Success,93081,Very Low
105,1571,2025-12-31,12634.0,UPI,Failed,38647,Very Low
106,17239,2023-02-17,16470.0,UPI,Success,740978,Very High
107,16620,2022-02-01,10147.0,Credit Card,Success,68115,Very Low
108,9957,2025-10-02,3206.0,Net Banking,Success,312222,Low
109,13510,2023-05-16,9192.0,Net Banking,Success,42352,Very Low
110,4245,2022-09-03,2316.0,Net Banking,Success,222717,Low
111,7901,2022-07-02,15625.0,Debit Card,Success,536541,High
112,27896,2022-05-21,6071.0,Auto Debit,Success,330549,Medium
113,544,2024-11-27,487.0,Debit Card,Success,723013,Very High
114,1357,2024-12-06,21359.0,Auto Debit,Success,60258,Very Low
115,15763,2025-09-06,11801.0,Net Banking,Success,561848,High
116,10908,2025-08-25,8565.0,Auto Debit,Success,531140,High
117,13352,2023-07-12,5898.0,Debit Card,Success,402863,Medium
118,2092,2026-01-21,2308.0,Debit Card,Success,395970,Medium
119,20123,2023-05-24,4032.0,Net Banking,Success,151623,Very Low
120,10145,2024-09-01,24227.0,Net Banking,Success,751078,Very High
121,23945,2024-12-07,21907.0,Auto Debit,Success,206738,Low
122,22744,2022-09-09,9732.0,Credit Card,Success,337782,Medium
123,17935,2024-08-15,11397.0,Debit Card,Success,708440,Very High
124,11054,2025-01-11,24970.0,Debit Card,Success,17011,Very Low
125,3561,2022-07-19,2650.0,Debit Card,Success,363076,Medium
126,5423,2023-03-18,9648.0,UPI,Success,608689,High
127,29117,2022-09-26,13125.0,Net Banking,Success,461035,Medium
128,23122,2022-12-07,21738.0,UPI,Success,228013,Low
129,26060,2023-06-17,17947.0,Credit Card,Success,90010,Very Low
130,18852,2025-01-22,22295.0,UPI,Pending,614362,High
131,12315,2022-01-12,14495.0,Debit Card,Success,736062,Very High
132,20427,2024-10-08,12746.0,UPI,Success,323776,Medium
133,23084,2024-01-26,12627.0,UPI,Success,737953,Very High
134,9209,2022-01-07,13844.0,Net Banking,Pending,649041,Very High
135,2658,2023-07-19,12640.0,UPI,Success,83898,Very Low
136,29187,2025-07-14,5672.0,Credit Card,Success,309100,Low
137,26673,2024-12-02,18851.0,Auto Debit,Success,311809,Low
138,1923,2023-09-13,17132.0,Credit Card,Success,791603,Very High
139,20018,2025-05-06,6201.0,Auto Debit,Success,378046,Medium
140,24595,2024-01-25,7077.0,UPI,Success,13611,Very Low
141,24500,2025-12-13,12627.0,UPI,Success,735380,Very High
142,25816,2025-09-26,12641.0,Net Banking,Success,593233,High
143,17568,2023-11-18,22314.0,Debit Card,Success,23892,Very Low
144,4157,2024-10-24,22540.0,Net Banking,Pending,546818,High
145,13548,2024-05-06,2945.0,UPI,Success,758761,Very High
146,7519,2023-10-02,20726.0,Debit Card,Success,280728,Low
147,12957,2024-05-24,3129.0,Credit Card,Success,718948,Very High
148,26328,2024-04-15,22170.0,UPI,Success,416168,Medium
149,3591,2025-12-03,24575.0,UPI,Success,568014,High
150,14024,2024-08-13,14002.0,Auto Debit,Success,670149,Very High
151,15042,2025-02-05,2563.0,Net Banking,Failed,73457,Very Low
152,3654,2025-03-28,21930.0,UPI,Success,733679,Very High
153,1075,2025-12-06,5739.0,UPI,Success,624120,High
154,19235,2023-05-10,9915.0,UPI,Success,172663,Low
155,19440,2022-01-07,22012.0,Debit Card,Success,610920,High
156,20916,2025-08-03,2592.0,Debit Card,Success,598946,High
157,10775,2023-05-15,24401.0,UPI,Success,682389,Very High
158,15246,2023-04-02,10889.0,UPI,Success,772230,Very High
159,25845,2023-11-10,5934.0,Net Banking,Success,381291,Medium
160,26181,2025-06-26,11732.0,Credit Card,Success,473660,Medium
161,11309,2023-06-18,3015.0,Debit Card,Success,78577,Very Low
162,14375,2024-05-01,13763.0,Credit Card,Success,594886,High
163,23815,2022-09-21,9017.0,Debit Card,Success,263749,Low
164,8017,2024-06-21,8914.0,Auto Debit,Success,35424,Very Low
165,29518,2023-01-08,10514.0,Auto Debit,Success,799540,Very High
166,22,2025-10-03,6898.0,Net Banking,Success,417304,Medium
167,11979,2024-06-07,4863.0,Debit Card,Success,503026,High
168,23965,2025-05-18,14838.0,Credit Card,Success,98467,Very Low
169,14473,2022-04-19,3477.0,Auto Debit,Success,147529,Very Low
170,2265,2025-12-28,5790.0,Credit Card,Success,370910,Medium
171,1875,2025-05-16,4715.0,UPI,Pending,569465,High
172,16087,2023-12-19,12628.0,Credit Card,Pending,168990,Low
173,4905,2026-04-19,5595.0,Net Banking,Success,409524,Medium
174,25543,2023-06-15,2477.0,UPI,Success,521324,High
175,6296,2025-01-26,22933.0,UPI,Success,401468,Medium
176,5689,2025-04-27,4939.0,Debit Card,Success,603867,High
177,7223,2025-03-03,16169.0,Credit Card,Success,286130,Low
178,29536,2025-03-20,1352.0,Debit Card,Success,721807,Very High
179,18636,2024-01-27,23964.0,Net Banking,Success,363485,Medium
180,20577,2025-06-27,10689.0,UPI,Success,52983,Very Low
181,25829,2023-06-14,14688.0,Auto Debit,Failed,635677,High
182,1428,2026-03-05,4884.0,Credit Card,Success,149656,Very Low
183,26111,2022-11-27,10259.0,Credit Card,Success,131980,Very Low
184,22245,2024-02-14,12159.0,Auto Debit,Success,236234,Low
185,26265,2024-11-26,19872.0,Debit Card,Success,452648,Medium
186,28639,2026-03-24,6998.0,Auto Debit,Success,526038,High
187,3073,2023-09-11,6908.0,Debit Card,Success,326829,Medium
188,4346,2026-02-18,3739.0,Auto Debit,Success,412278,Medium
189,27889,2022-03-02,23922.0,UPI,Success,739858,Very High
190,1672,2022-10-05,440.0,UPI,Success,300213,Low
191,27765,2025-10-24,10835.0,Debit Card,Success,576980,High
192,13648,2022-03-31,1491.0,UPI,Success,605624,High
193,25640,2025-01-13,17326.0,Debit Card,Pending,85979,Very Low
194,8267,2026-01-31,9253.0,Debit Card,Success,494548,High
195,8883,2024-03-25,9815.0,Auto Debit,Success,222162,Low
196,2992,2023-03-12,12407.0,Net Banking,Success,67147,Very Low
197,28308,2024-11-24,22780.0,Auto Debit,Success,11735,Very Low
198,13669,2024-10-08,13687.0,Credit Card,Success,328502,Medium
199,2896,2022-10-20,16031.0,Credit Card,Success,503296,High
200,24655,2022-12-02,20667.0,Debit Card,Pending,225947,Low
201,2776,2022-09-05,11267.0,Credit Card,Success,629253,High
202,7699,2025-05-30,24309.0,UPI,Failed,508372,High
203,10587,2026-01-29,11365.0,Auto Debit,Success,678665,Very High
204,24047,2024-05-27,12028.0,Net Banking,Success,212636,Low
205,5558,2024-10-03,8909.0,Debit Card,Success,547233,High
206,7506,2023-04-05,24522.0,Auto Debit,Success,426968,Medium
207,15243,2025-08-28,24534.0,Credit Card,Success,190743,Low
208,21894,2024-03-31,1495.0,Net Banking,Success,622816,High
209,24953,2023-01-16,8322.0,Debit Card,Success,765044,Very High
210,6482,2026-04-15,8411.0,Net Banking,Success,517234,High
211,21511,2025-12-05,14336.0,Debit Card,Success,69291,Very Low
212,21659,2022-09-15,5357.0,UPI,Success,576935,High
213,1623,2025-01-24,2083.0,Debit Card,Success,452752,Medium
214,23650,2024-09-26,13467.0,Auto Debit,Success,297955,Low
215,8461,2024-04-15,14623.0,Net Banking,Success,352327,Medium
216,3823,2024-07-08,7301.0,Net Banking,Success,419142,Medium
217,18688,2024-12-01,800.0,Credit Card,Success,554936,High
218,21165,2025-03-30,24514.0,Credit Card,Success,471160,Medium
219,3969,2025-03-09,23482.0,Credit Card,Failed,668317,Very High
220,18649,2025-06-03,24798.0,Net Banking,Success,593334,High
221,250,2022-10-03,16017.0,Auto Debit,Success,504687,High
222,14987,2022-11-21,7708.0,Credit Card,Success,198214,Low
223,3226,2025-03-20,13228.0,Net Banking,Success,355113,Medium
224,11070,2025-07-20,1015.0,Debit Card,Success,149559,Very Low
225,14176,2025-07-03,12440.0,Net Banking,Success,404933,Medium
226,10125,2025-10-22,1761.0,Credit Card,Success,376454,Medium
227,26684,2023-05-18,12017.0,Credit Card,Failed,361383,Medium
228,4559,2025-07-30,5430.0,Net Banking,Success,538759,High
229,2297,2025-09-10,21613.0,Auto Debit,Success,40231,Very Low
230,22418,2022-02-15,4340.0,Debit Card,Failed,262570,Low
231,3539,2025-02-05,16814.0,Auto Debit,Success,296251,Low
232,23090,2023-10-24,12490.0,UPI,Success,238997,Low
233,19325,2023-08-25,4034.0,Credit Card,Success,582314,High
234,25956,2025-10-07,2248.0,Net Banking,Success,717969,Very High
235,6218,2026-02-28,3755.0,Credit Card,Success,259757,Low
236,19310,2023-05-21,7322.0,Debit Card,Success,274058,Low
237,26354,2025-07-07,7275.0,Net Banking,Success,229584,Low
238,11754,2024-11-16,19778.0,Auto Debit,Success,612422,High
239,3431,2024-09-14,14867.0,UPI,Success,66762,Very Low
240,21354,2023-12-25,7771.0,Credit Card,Success,104209,Very Low
241,28064,2023-08-12,8847.0,Net Banking,Success,708809,Very High
242,5778,2024-09-28,23596.0,Debit Card,Success,725855,Very High
243,6970,2023-07-11,16237.0,UPI,Success,81164,Very Low
244,13608,2022-08-24,22255.0,Auto Debit,Success,434862,Medium
245,25466,2023-02-15,2577.0,UPI,Success,119208,Very Low
246,13822,2026-04-17,19371.0,Debit Card,Success,731281,Very High
247,10713,2024-03-14,4240.0,Credit Card,Success,296021,Low
248,18787,2023-03-19,13359.0,Credit Card,Success,790539,Very High
249,10162,2022-03-27,23333.0,Credit Card,Success,748473,Very High
250,25968,2025-10-15,2721.0,Net Banking,Success,80890,Very Low
251,13780,2026-02-18,13203.0,Debit Card,Success,615395,High
252,13411,2024-02-06,24390.0,UPI,Success,117421,Very Low
253,19865,2026-04-16,10088.0,Credit Card,Success,629936,High
254,27208,2023-12-23,24863.0,Credit Card,Success,248566,Low
255,14248,2022-03-06,19135.0,Auto Debit,Failed,356805,Medium
256,3256,2025-02-01,2369.0,UPI,Success,347794,Medium
257,17655,2023-05-31,1695.0,Net Banking,Failed,314640,Low
258,9940,2023-07-04,7673.0,Net Banking,Success,82257,Very Low
259,21268,2024-06-15,24537.0,Auto Debit,Success,37190,Very Low
260,1376,2023-05-11,3378.0,Debit Card,Success,466732,Medium
261,15675,2025-07-05,1584.0,UPI,Success,711377,Very High
262,6297,2022-01-04,9317.0,Net Banking,Success,792582,Very High
263,10361,2022-11-04,19837.0,UPI,Success,57992,Very Low
264,19488,2023-07-06,13496.0,Net Banking,Success,82164,Very Low
265,11516,2023-07-04,11981.0,Debit Card,Success,98534,Very Low
266,28552,2022-10-28,15577.0,Credit Card,Success,739551,Very High
267,3138,2024-06-26,4880.0,Debit Card,Success,194659,Low
268,12366,2024-05-13,4244.0,Credit Card,Success,66372,Very Low
269,8332,2026-02-17,10976.0,Auto Debit,Success,11119,Very Low
270,8423,2023-05-09,4385.0,Auto Debit,Failed,136551,Very Low
271,14608,2025-05-15,10596.0,Net Banking,Success,532053,High
272,23617,2024-04-29,19306.0,Debit Card,Success,333308,Medium
273,18334,2025-09-09,15746.0,UPI,Success,699109,Very High
274,23424,2023-09-24,12480.0,UPI,Success,521808,High
275,24552,2023-01-25,11473.0,Debit Card,Success,423603,Medium
276,5494,2025-10-13,17247.0,Auto Debit,Success,472915,Medium
277,9876,2025-01-25,14836.0,Debit Card,Success,417287,Medium
278,20274,2023-04-06,182.0,Auto Debit,Success,653089,Very High
279,27465,2022-12-27,11563.0,Debit Card,Success,734848,Very High
280,8052,2022-04-06,22470.0,Auto Debit,Success,468130,Medium
281,6041,2024-09-20,18621.0,Net Banking,Success,493034,High
282,24971,2024-07-18,23973.0,Debit Card,Success,437752,Medium
283,14103,2022-11-04,24289.0,UPI,Success,255462,Low
284,27629,2026-02-08,13744.0,UPI,Success,587709,High
285,28715,2023-07-05,14649.0,UPI,Success,506637,High
286,6627,2024-07-19,9112.0,Debit Card,Success,121558,Very Low
287,11395,2024-09-11,1168.0,Net Banking,Success,71042,Very Low
288,28655,2022-04-12,9385.0,Auto Debit,Success,597710,High
289,22925,2022-05-15,12104.0,Auto Debit,Success,691541,Very High
290,23301,2024-04-09,5558.0,UPI,Success,310345,Low
291,26708,2022-05-06,20770.0,Net Banking,Success,255369,Low
292,17627,2025-10-13,20504.0,Credit Card,Success,346860,Medium
293,7136,2024-11-03,2397.0,UPI,Success,484796,High
294,15192,2025-11-21,1167.0,UPI,Success,489444,High
295,13926,2022-08-04,12490.0,UPI,Success,272274,Low
296,4660,2025-03-15,21895.0,Credit Card,Success,604260,High
297,13360,2026-01-26,7727.0,Debit Card,Success,397678,Medium
298,22474,2023-09-24,19940.0,Debit Card,Success,388411,Medium
299,26019,2026-02-03,16106.0,Debit Card,Success,659738,Very High
300,9193,2022-04-19,8507.0,Debit Card,Success,81607,Very Low
301,6622,2026-03-11,4961.0,Auto Debit,Success,269968,Low
302,10423,2024-02-29,8750.0,Credit Card,Success,85585,Very Low
303,15319,2022-12-30,3019.0,Credit Card,Success,69690,Very Low
304,7622,2023-08-04,2277.0,Auto Debit,Success,359625,Medium
305,10071,2024-11-30,2060.0,Credit Card,Success,27293,Very Low
306,4857,2025-07-10,12954.0,Debit Card,Failed,710763,Very High
307,16771,2024-07-12,8581.0,Net Banking,Success,324608,Medium
308,25523,2022-01-22,22389.0,Auto Debit,Success,165363,Low
309,19662,2023-03-29,23784.0,Net Banking,Success,526375,High
310,24079,2025-05-08,21456.0,UPI,Success,731113,Very High
311,4771,2025-09-21,9704.0,UPI,Success,260872,Low
312,21377,2026-04-02,8557.0,Debit Card,Success,794639,Very High
313,12493,2024-05-16,21777.0,UPI,Success,599690,High
314,253,2026-04-10,14984.0,Debit Card,Success,300916,Low
315,6842,2023-09-22,6743.0,UPI,Success,337619,Medium
316,24299,2022-08-14,15436.0,Net Banking,Success,655199,Very High
317,1057,2025-07-02,23875.0,Auto Debit,Failed,652885,Very High
318,572,2025-02-07,18311.0,Credit Card,Pending,528951,High
319,28044,2025-01-21,17178.0,Auto Debit,Success,138409,Very Low
320,24577,2025-08-07,20170.0,Credit Card,Pending,173085,Low
321,24480,2025-08-17,13079.0,Auto Debit,Success,322092,Medium
322,20476,2026-03-20,23292.0,Net Banking,Failed,594979,High
323,26925,2023-12-28,23769.0,Credit Card,Success,82523,Very Low
324,22170,2024-04-17,7702.0,Debit Card,Success,141293,Very Low
325,23518,2025-08-21,9645.0,Net Banking,Success,639044,High
326,13651,2025-05-17,21864.0,Auto Debit,Success,57856,Very Low
327,24578,2026-04-10,1370.0,Net Banking,Success,176786,Low
328,2765,2022-05-16,21945.0,Net Banking,Success,631486,High
329,13948,2022-08-26,22646.0,Net Banking,Success,638944,High
330,10757,2024-10-19,4807.0,Credit Card,Success,219834,Low
331,27771,2023-10-31,10423.0,Auto Debit,Failed,607522,High
332,25456,2025-06-13,24642.0,Debit Card,Success,792840,Very High
333,16075,2025-01-19,6009.0,UPI,Success,509982,High
334,3437,2022-01-16,11417.0,Auto Debit,Failed,262140,Low
335,17483,2025-10-29,20805.0,Credit Card,Success,191583,Low
336,13683,2022-10-04,19927.0,Auto Debit,Success,505059,High
337,7983,2025-06-20,16383.0,Credit Card,Success,488927,High
338,24194,2024-05-06,1646.0,Auto Debit,Success,276554,Low
339,1711,2025-07-18,24196.0,Credit Card,Success,100279,Very Low
340,10811,2023-09-01,10614.0,UPI,Success,270203,Low
341,8682,2024-11-07,10156.0,UPI,Success,763717,Very High
342,1807,2024-07-09,626.0,Debit Card,Success,667256,Very High
343,29235,2022-01-22,10797.0,Debit Card,Success,275298,Low
344,16559,2024-10-13,3202.0,Debit Card,Success,54946,Very Low
345,24109,2025-03-24,13915.0,Auto Debit,Success,76483,Very Low
346,2640,2022-09-30,11779.0,Debit Card,Success,110112,Very Low
347,12623,2024-09-29,8118.0,Debit Card,Success,309121,Low
348,27921,2024-05-18,13315.0,Net Banking,Success,269185,Low
349,19435,2022-01-16,7085.0,Credit Card,Success,195700,Low
350,21252,2025-12-24,2702.0,UPI,Success,545451,High
351,3460,2024-01-04,6249.0,Debit Card,Success,426869,Medium
352,28369,2024-04-30,11284.0,UPI,Success,777581,Very High
353,20751,2023-06-04,20735.0,Auto Debit,Success,402961,Medium
354,10161,2025-09-27,6404.0,Debit Card,Success,481834,High
355,18265,2025-04-21,20352.0,UPI,Success,716113,Very High
356,21624,2024-07-18,17964.0,Auto Debit,Success,677601,Very High
357,27006,2024-06-27,4100.0,Debit Card,Success,290132,Low
358,7634,2024-02-01,21847.0,UPI,Success,290498,Low
359,23745,2026-04-29,1708.0,Net Banking,Success,512747,High
360,15557,2023-08-07,15727.0,Credit Card,Success,670164,Very High
361,11145,2024-01-26,8512.0,Net Banking,Success,568369,High
362,11023,2025-08-11,12746.0,UPI,Success,380457,Medium
363,17122,2023-11-26,10444.0,Net Banking,Success,213620,Low
364,301,2025-09-14,11268.0,Net Banking,Success,247583,Low
365,24707,2023-09-25,21411.0,Auto Debit,Failed,640968,Very High
366,19301,2025-03-13,24767.0,Credit Card,Success,280484,Low
367,29471,2023-08-18,15530.0,Debit Card,Success,135699,Very Low
368,4361,2025-05-12,3890.0,Net Banking,Success,390541,Medium
369,25227,2024-04-17,23857.0,Credit Card,Success,687037,Very High
370,7879,2023-02-13,15073.0,Net Banking,Success,14255,Very Low
371,7690,2025-07-01,13057.0,Auto Debit,Success,259748,Low
372,12387,2022-01-16,1103.0,Auto Debit,Success,401472,Medium
373,29530,2024-06-25,2919.0,UPI,Success,746811,Very High
374,12200,2023-03-13,3092.0,Credit Card,Success,648413,Very High
375,15807,2022-12-08,11654.0,Debit Card,Success,401405,Medium
376,9060,2025-04-06,22006.0,Auto Debit,Success,436885,Medium
377,8567,2024-12-20,22032.0,Net Banking,Success,313847,Low
378,17513,2024-10-18,3759.0,Auto Debit,Success,171107,Low
379,13232,2025-03-11,5702.0,UPI,Success,430752,Medium
380,1774,2022-03-19,24072.0,Net Banking,Success,299675,Low
381,11870,2024-05-10,4749.0,Auto Debit,Success,107763,Very Low
382,1295,2024-03-17,16086.0,Credit Card,Success,178517,Low
383,9008,2024-05-16,15343.0,Debit Card,Success,194756,Low
384,821,2024-05-18,6371.0,Credit Card,Pending,354957,Medium
385,5638,2022-02-05,12490.0,UPI,Success,310408,Low
386,7713,2025-08-12,8012.0,Net Banking,Success,644754,Very High
387,25569,2022-11-18,2149.0,Auto Debit,Success,753633,Very High
388,13675,2025-02-20,21504.0,Credit Card,Success,267833,Low
389,6577,2025-01-18,3197.0,UPI,Pending,654102,Very High
390,1927,2022-12-27,3165.0,Credit Card,Pending,318774,Medium
391,5959,2024-06-22,10850.0,UPI,Success,283482,Low
392,20699,2024-04-16,9318.0,UPI,Success,448442,Medium
393,13289,2024-07-17,5233.0,Auto Debit,Success,325586,Medium
394,25338,2025-06-26,10041.0,Debit Card,Success,87127,Very Low
395,15824,2022-10-03,17993.0,UPI,Failed,620706,High
396,7469,2024-09-10,19781.0,Credit Card,Success,505300,High
397,14949,2022-07-07,8399.0,Net Banking,Success,488197,High
398,5417,2022-05-01,3719.0,Auto Debit,Success,421122,Medium
399,29254,2026-02-21,24859.0,Credit Card,Success,482441,High
400,20031,2025-02-13,10395.0,UPI,Success,251322,Low
401,743,2023-11-12,4630.0,Credit Card,Success,633848,High
402,496,2025-01-28,14354.0,Credit Card,Success,722981,Very High
403,2527,2025-08-13,4012.0,Net Banking,Success,465765,Medium
404,11259,2025-11-28,7794.0,Credit Card,Success,543541,High
405,3803,2024-06-14,14173.0,Net Banking,Success,488767,High
406,5372,2023-10-29,13176.0,Debit Card,Success,769204,Very High
407,16386,2025-11-20,13428.0,Debit Card,Success,160997,Low
408,28334,2025-08-22,16925.0,UPI,Success,45758,Very Low
409,19558,2022-03-06,2577.0,Credit Card,Pending,11239,Very Low
410,5984,2023-10-03,12234.0,Auto Debit,Success,798871,Very High
411,19779,2026-04-26,3515.0,Auto Debit,Success,501303,High
412,14167,2022-03-09,23171.0,Credit Card,Success,203091,Low
413,29247,2025-07-15,6930.0,Debit Card,Success,792566,Very High
414,17964,2024-07-27,6196.0,Credit Card,Success,77040,Very Low
415,23670,2023-03-03,886.0,UPI,Success,28794,Very Low
416,4446,2024-05-08,12640.0,UPI,Success,94742,Very Low
417,26666,2023-02-11,8456.0,Debit Card,Failed,72527,Very Low
418,25788,2024-12-27,12871.0,Credit Card,Success,308278,Low
419,15207,2025-03-21,15925.0,Debit Card,Failed,29756,Very Low
420,25285,2025-07-06,18307.0,Auto Debit,Success,508401,High
421,26672,2022-02-03,20077.0,Net Banking,Success,348987,Medium
422,27979,2025-08-30,15777.0,UPI,Success,164360,Low
423,16178,2024-06-27,17450.0,Debit Card,Success,595747,High
424,4412,2023-03-06,9340.0,Net Banking,Failed,366922,Medium
425,9365,2026-04-27,17405.0,Net Banking,Success,152272,Very Low
426,10162,2024-01-30,951.0,Auto Debit,Success,748473,Very High
427,29355,2024-06-19,18392.0,Auto Debit,Success,346737,Medium
428,7128,2023-01-06,13761.0,UPI,Success,472529,Medium
